Booking ID,Customer ID,Destination,Booking Date,Travel Date,Booking Status,Revenue,Booking Channel,Consultant,Country,Device,Trip Length,Adults,Children
BKG00039,CUST0293,Bangkok,2023-05-27,2024-03-06,Confirmed,4660,Agent,Consultant_19,Germany,Desktop,5,1,0
BKG00040,CUST0004,Oslo,2024-07-28,2023-10-04,Cancelled,4183,Agent,Consultant_5,UK,Desktop,14,3,1
BKG00041,CUST0220,Oslo,2023-11-19,2024-10-07,Cancelled,1085,Website,Consultant_19,Italy,Mobile,5,4,2
BKG00042,CUST0364,Bangkok,2024-03-18,2024-09-18,Confirmed,6323,Agent,Consultant_1,Italy,Tablet,13,2,2
BKG00043,CUST0382,Rio,2023-01-13,2024-04-24,Confirmed,6814,Phone,Consultant_15,France,Tablet,14,4,1
BKG00044,CUST0020,Oslo,2024-05-08,2024-05-29,Confirmed,7940,Phone,Consultant_16,Spain,Mobile,6,4,0
BKG00045,CUST0444,Istanbul,2023-10-14,2024-11-06,Pending,4460,Website,Consultant_7,Germany,Tablet,18,4,1
BKG00046,CUST0152,Madrid,2023-04-24,2024-10-11,Confirmed,4270,Phone,Consultant_12,Netherlands,Mobile,20,4,1
BKG00047,CUST0050,Rome,2024-04-24,2023-02-17,Pending,1034,App,Consultant_8,Spain,Tablet,6,4,2
BKG00048,CUST0177,Helsinki,2023-01-22,2024-09-27,Confirmed,3962,Website,Consultant_5,Spain,Desktop,8,1,0
BKG00049,CUST0435,Sydney,2023-12-15,2024-11-22,Confirmed,4511,Website,Consultant_10,USA,Desktop,17,3,1
BKG00050,CUST0096,Athens,2024-11-13,2025-02-26,Confirmed,7336,App,Consultant_5,Germany,Desktop,3,2,0
BKG00051,CUST0105,Madrid,2024-07-19,2023-11-15,Confirmed,3898,Phone,Consultant_17,USA,Mobile,5,4,0
BKG00052,CUST0420,Sydney,2023-11-16,2024-03-19,Confirmed,2655,Phone,Consultant_5,Netherlands,Mobile,7,2,1
BKG00053,CUST0250,Milan,2023-05-06,2025-01-20,Confirmed,6466,Phone,Consultant_15,Germany,Tablet,19,1,0
BKG00054,CUST0117,Copenhagen,2023-10-04,2024-10-29,Confirmed,7829,Website,Consultant_13,Spain,Tablet,16,3,2
BKG00055,CUST0354,Seoul,2023-07-23,2023-09-22,Pending,7457,Website,Consultant_1,Spain,Tablet,11,4,2
BKG00056,CUST0228,Dubai,2023-07-13,2024-03-21,Confirmed,1504,Phone,Consultant_11,USA,Mobile,5,1,2
BKG00057,CUST0066,Istanbul,2024-11-11,2024-06-12,Cancelled,2999,Agent,Consultant_1,Italy,Tablet,15,1,2
BKG00058,CUST0335,Oslo,2024-10-25,2024-10-25,Confirmed,5825,Phone,Consultant_11,Italy,Desktop,5,3,0
BKG00059,CUST0418,Bangkok,2024-06-30,2024-11-10,Confirmed,7233,App,Consultant_18,Netherlands,Tablet,13,4,2
BKG00060,CUST0420,Lisbon,2024-11-26,2023-05-25,Confirmed,5635,Website,Consultant_18,Germany,Desktop,4,3,1
BKG00061,CUST0262,Paris,2023-10-13,2024-12-04,Confirmed,826,App,Consultant_16,USA,Mobile,17,3,2
BKG00062,CUST0295,Seoul,2023-02-26,2025-01-12,Pending,5203,App,Consultant_13,Germany,Desktop,15,2,1
BKG00063,CUST0426,Barcelona,2023-10-30,2023-09-21,Confirmed,3206,Website,Consultant_7,UK,Desktop,18,2,1
BKG00064,CUST0243,Oslo,2023-06-12,2024-07-23,Confirmed,501,Agent,Consultant_1,UK,Desktop,20,3,2
BKG00065,CUST0371,Milan,2023-01-19,2023-02-10,Confirmed,1533,Phone,Consultant_16,UK,Mobile,9,2,2
BKG00066,CUST0186,Copenhagen,2024-01-05,2023-08-24,Confirmed,2981,App,Consultant_1,Germany,Mobile,15,1,0
BKG00067,CUST0246,Prague,2023-09-21,2024-12-09,Confirmed,624,Website,Consultant_17,Spain,Mobile,6,3,1
BKG00068,CUST0125,Dubai,2023-04-23,2023-10-04,Cancelled,1604,App,Consultant_6,USA,Mobile,11,4,2
BKG00069,CUST0268,Sydney,2024-05-02,2024-08-11,Cancelled,7128,Phone,Consultant_2,Italy,Tablet,12,4,0
BKG00070,CUST0131,Rio,2023-11-23,2025-02-26,Confirmed,3199,Agent,Consultant_17,Spain,Mobile,11,1,2
BKG00071,CUST0237,Lisbon,2024-06-25,2023-06-06,Confirmed,2361,Agent,Consultant_6,France,Desktop,9,4,2
BKG00072,CUST0018,Sydney,2024-10-08,2023-06-26,Confirmed,5769,Agent,Consultant_14,USA,Mobile,17,4,2
BKG00073,CUST0040,Vienna,2024-08-01,2023-05-28,Confirmed,7443,Website,Consultant_18,USA,Tablet,10,3,1
BKG00074,CUST0021,New York,2023-03-06,2024-02-16,Confirmed,3420,Website,Consultant_6,Italy,Tablet,13,1,2
BKG00075,CUST0399,Toronto,2023-10-19,2024-03-17,Confirmed,628,Agent,Consultant_10,France,Tablet,7,3,0
BKG00076,CUST0225,Vienna,2023-01-25,2024-11-24,Confirmed,937,Phone,Consultant_18,USA,Desktop,4,1,2
BKG00077,CUST0355,Paris,2024-07-02,2024-09-05,Confirmed,5346,Phone,Consultant_9,Spain,Mobile,12,3,2
BKG00078,CUST0282,Dubai,2023-01-01,2024-01-28,Confirmed,3048,Website,Consultant_8,Netherlands,Mobile,18,3,0
BKG00079,CUST0008,Lisbon,2024-07-02,2024-06-22,Confirmed,3629,Agent,Consultant_10,Netherlands,Mobile,15,2,0
BKG00080,CUST0100,Barcelona,2023-05-21,2023-06-16,Confirmed,1721,Phone,Consultant_17,Germany,Desktop,10,4,1
BKG00081,CUST0240,Paris,2024-10-09,2023-07-24,Confirmed,6854,Phone,Consultant_6,Germany,Desktop,11,1,1
BKG00082,CUST0478,Berlin,2023-07-07,2023-11-15,Cancelled,1401,Phone,Consultant_14,Italy,Tablet,13,4,1
BKG00083,CUST0087,Vienna,2023-05-08,2024-05-25,Confirmed,6688,Website,Consultant_6,USA,Tablet,13,2,1
BKG00084,CUST0298,Barcelona,2023-07-20,2023-02-18,Confirmed,3668,Agent,Consultant_7,France,Mobile,18,1,0
BKG00085,CUST0428,New York,2023-05-07,2023-08-13,Confirmed,5898,App,Consultant_12,France,Desktop,12,2,2
BKG00086,CUST0014,Rome,2023-09-14,2023-12-26,Cancelled,7178,Agent,Consultant_3,Italy,Desktop,14,4,2
BKG00087,CUST0334,Bangkok,2024-11-06,2023-07-24,Confirmed,6029,Agent,Consultant_14,UK,Mobile,8,3,2
BKG00088,CUST0002,Rio,2024-06-30,2024-04-23,Confirmed,7104,Website,Consultant_19,Spain,Mobile,14,2,1
BKG00089,CUST0375,New York,2023-07-13,2024-01-19,Confirmed,4986,Phone,Consultant_16,Germany,Tablet,12,2,0
BKG00090,CUST0293,Helsinki,2023-04-14,2024-06-12,Cancelled,4418,Phone,Consultant_7,USA,Tablet,20,3,0
BKG00091,CUST0325,Cape Town,2024-06-18,2023-06-20,Pending,1567,Website,Consultant_8,USA,Tablet,20,4,0
BKG00092,CUST0422,Prague,2023-09-22,2025-02-26,Confirmed,526,Website,Consultant_18,France,Mobile,6,2,2
BKG00093,CUST0493,Rome,2024-01-19,2023-05-03,Cancelled,7437,Website,Consultant_13,Italy,Mobile,11,4,1
BKG00094,CUST0041,Tokyo,2023-09-17,2023-09-26,Pending,7764,Website,Consultant_9,France,Tablet,9,3,0
BKG00095,CUST0318,Toronto,2024-02-18,2023-08-23,Pending,7618,Website,Consultant_10,France,Tablet,20,1,1
BKG00096,CUST0316,Istanbul,2023-12-24,2024-08-12,Confirmed,1047,App,Consultant_9,UK,Desktop,10,2,0
BKG00097,CUST0381,Tokyo,2023-03-16,2024-04-07,Confirmed,3168,Agent,Consultant_15,France,Desktop,13,4,1
BKG00098,CUST0111,Athens,2023-12-21,2023-10-02,Confirmed,1066,Agent,Consultant_20,Germany,Tablet,9,3,0
BKG00099,CUST0014,Berlin,2024-08-06,2025-05-11,Cancelled,1203,Agent,Consultant_2,Netherlands,Tablet,11,3,1
BKG00100,CUST0231,Oslo,2023-07-07,2023-12-13,Confirmed,5838,Phone,Consultant_13,Italy,Desktop,10,2,0
BKG00101,CUST0473,New York,2024-11-15,2023-11-21,Confirmed,4780,App,Consultant_2,Germany,Tablet,5,1,0
BKG00102,CUST0084,Oslo,2023-10-17,2024-10-31,Confirmed,3640,Agent,Consultant_19,Italy,Desktop,19,2,1
BKG00103,CUST0130,Dubai,2023-02-14,2025-06-04,Cancelled,7797,Phone,Consultant_2,USA,Desktop,4,4,1
BKG00104,CUST0231,San Francisco,2024-07-26,2023-11-08,Cancelled,2090,App,Consultant_3,Spain,Desktop,17,3,2
BKG00105,CUST0326,Cape Town,2023-03-24,2023-02-16,Confirmed,6509,App,Consultant_6,France,Mobile,16,1,1
BKG00106,CUST0145,Cape Town,2023-05-03,2023-04-11,Cancelled,5443,Phone,Consultant_3,UK,Mobile,20,4,0
BKG00107,CUST0379,Rio,2023-12-24,2023-10-26,Confirmed,5194,App,Consultant_10,Germany,Tablet,18,2,0
BKG00108,CUST0345,Rome,2024-06-11,2023-12-21,Cancelled,1305,Phone,Consultant_6,Italy,Desktop,6,3,1
BKG00109,CUST0028,Helsinki,2023-03-07,2025-04-03,Confirmed,4291,Agent,Consultant_16,Netherlands,Mobile,8,2,2
BKG00110,CUST0066,Rio,2024-10-18,2023-12-01,Confirmed,1857,Phone,Consultant_17,Italy,Tablet,8,1,1
BKG00111,CUST0163,Athens,2024-01-10,2024-04-25,Pending,3725,App,Consultant_19,USA,Tablet,13,1,0
BKG00112,CUST0229,Bangkok,2023-06-11,2023-02-06,Confirmed,4118,Agent,Consultant_3,Italy,Tablet,19,1,0
BKG00113,CUST0261,Toronto,2024-01-15,2023-12-10,Cancelled,2626,Agent,Consultant_18,USA,Tablet,5,1,2
BKG00114,CUST0449,Milan,2024-10-17,2025-04-26,Confirmed,7222,Website,Consultant_7,USA,Tablet,15,1,1
BKG00115,CUST0424,Copenhagen,2023-12-24,2023-05-13,Confirmed,6474,Website,Consultant_9,Italy,Desktop,5,2,0
BKG00116,CUST0460,Amsterdam,2023-07-07,2025-04-30,Confirmed,2960,App,Consultant_20,Spain,Tablet,18,1,0
BKG00117,CUST0440,Seoul,2023-11-18,2023-08-11,Confirmed,1045,Phone,Consultant_12,Italy,Desktop,17,1,0
BKG00118,CUST0164,Milan,2024-03-25,2025-02-21,Confirmed,6228,Phone,Consultant_5,USA,Mobile,13,3,1
BKG00119,CUST0301,Lisbon,2024-04-18,2024-08-26,Confirmed,6812,App,Consultant_3,Italy,Tablet,20,1,1
BKG00120,CUST0407,Berlin,2023-01-13,2024-07-12,Confirmed,3228,Agent,Consultant_11,Italy,Mobile,17,3,2
BKG00121,CUST0303,Sydney,2023-07-03,2023-07-20,Confirmed,4234,App,Consultant_4,Spain,Desktop,7,3,0
BKG00122,CUST0287,Berlin,2023-04-21,2024-07-20,Pending,7226,App,Consultant_5,Netherlands,Desktop,18,3,0
BKG00123,CUST0395,Athens,2024-05-22,2023-10-08,Pending,3062,Agent,Consultant_1,Netherlands,Mobile,18,2,2
BKG00124,CUST0010,New York,2023-10-17,2025-03-05,Confirmed,7981,Phone,Consultant_18,Netherlands,Tablet,19,2,0
BKG00125,CUST0195,Seoul,2023-10-22,2024-02-21,Cancelled,2579,App,Consultant_12,Spain,Tablet,11,4,2
BKG00126,CUST0118,Oslo,2024-03-26,2023-08-25,Confirmed,6930,Phone,Consultant_13,Italy,Mobile,5,4,2
BKG00127,CUST0270,Barcelona,2023-08-03,2024-07-24,Confirmed,3141,App,Consultant_9,Spain,Mobile,15,3,0
BKG00128,CUST0080,Lisbon,2024-09-23,2024-10-20,Cancelled,3614,Agent,Consultant_2,Spain,Mobile,5,2,1
BKG00129,CUST0458,Amsterdam,2024-07-20,2024-03-21,Pending,2426,Agent,Consultant_5,Netherlands,Tablet,9,1,1
BKG00130,CUST0093,Helsinki,2023-01-27,2025-04-03,Confirmed,1116,Website,Consultant_13,Italy,Tablet,8,4,1
BKG00131,CUST0266,Oslo,2024-09-21,2024-02-14,Cancelled,7668,Agent,Consultant_16,UK,Tablet,11,2,1
BKG00132,CUST0332,Vienna,2023-08-19,2023-06-23,Confirmed,4144,Website,Consultant_16,Netherlands,Mobile,14,1,0
BKG00133,CUST0350,Prague,2024-07-18,2023-02-24,Pending,6913,App,Consultant_3,Italy,Tablet,17,1,2
BKG00134,CUST0361,Helsinki,2023-11-17,2025-05-01,Confirmed,1703,Phone,Consultant_4,Netherlands,Desktop,5,2,2
BKG00135,CUST0257,New York,2023-08-21,2024-11-28,Confirmed,2259,Agent,Consultant_11,France,Mobile,12,4,0
BKG00136,CUST0133,Amsterdam,2024-10-31,2023-04-13,Confirmed,3065,Agent,Consultant_14,UK,Tablet,3,2,1
BKG00137,CUST0276,Cape Town,2024-03-12,2024-10-23,Confirmed,3674,Agent,Consultant_3,Italy,Mobile,15,4,2
BKG00138,CUST0264,Berlin,2024-06-16,2025-05-03,Confirmed,3581,App,Consultant_16,Spain,Desktop,14,3,0
BKG00139,CUST0171,Rio,2024-02-07,2025-05-12,Pending,3130,Website,Consultant_15,UK,Desktop,3,2,0
BKG00140,CUST0460,Istanbul,2023-02-22,2023-05-03,Confirmed,3661,App,Consultant_10,UK,Mobile,18,2,1
BKG00141,CUST0001,Athens,2023-11-09,2024-06-18,Confirmed,4821,Phone,Consultant_9,USA,Mobile,17,4,0
BKG00142,CUST0313,San Francisco,2023-10-08,2024-09-19,Confirmed,1169,App,Consultant_11,Italy,Desktop,18,4,2
BKG00143,CUST0064,Copenhagen,2023-01-31,2024-01-01,Confirmed,6359,Phone,Consultant_16,Germany,Mobile,13,2,2
BKG00144,CUST0374,Prague,2023-12-03,2024-03-30,Confirmed,5512,Agent,Consultant_10,UK,Desktop,8,1,0
BKG00145,CUST0468,Berlin,2023-07-02,2024-06-12,Confirmed,6769,Phone,Consultant_17,Spain,Desktop,13,1,2
BKG00146,CUST0284,Cape Town,2023-01-23,2024-01-29,Confirmed,7599,Phone,Consultant_19,Germany,Tablet,5,1,0
BKG00147,CUST0121,Barcelona,2024-06-27,2024-10-21,Confirmed,7876,Website,Consultant_2,Spain,Mobile,17,3,2
BKG00148,CUST0107,Seoul,2024-03-21,2025-02-13,Confirmed,3668,Phone,Consultant_2,UK,Mobile,3,3,1
BKG00149,CUST0421,Lisbon,2023-03-15,2023-08-17,Cancelled,2621,Phone,Consultant_6,France,Tablet,9,4,2
BKG00150,CUST0175,Toronto,2023-01-10,2025-01-17,Cancelled,5810,App,Consultant_19,France,Desktop,3,3,1
BKG00151,CUST0485,Copenhagen,2024-04-28,2024-03-18,Confirmed,4578,Agent,Consultant_8,UK,Mobile,19,1,1
BKG00152,CUST0204,Athens,2024-03-31,2024-01-04,Confirmed,6301,App,Consultant_3,France,Tablet,11,2,0
BKG00153,CUST0165,Berlin,2024-07-19,2024-11-19,Confirmed,6438,App,Consultant_14,Spain,Tablet,15,3,1
BKG00154,CUST0305,Seoul,2024-07-17,2024-04-03,Confirmed,6579,Agent,Consultant_16,Germany,Mobile,13,3,2
BKG00155,CUST0497,Seoul,2024-10-21,2025-03-23,Confirmed,4651,Agent,Consultant_1,Spain,Tablet,8,1,2
BKG00156,CUST0120,Rome,2023-06-09,2023-06-18,Confirmed,1219,Phone,Consultant_3,UK,Desktop,3,3,1
BKG00157,CUST0044,Madrid,2023-01-14,2024-12-23,Confirmed,3100,Phone,Consultant_18,Germany,Tablet,9,4,0
BKG00158,CUST0312,Milan,2023-06-27,2024-07-25,Confirmed,6675,Website,Consultant_9,Germany,Desktop,14,2,1
BKG00159,CUST0156,Milan,2024-02-16,2023-03-28,Confirmed,4098,App,Consultant_6,Spain,Desktop,19,1,2
BKG00160,CUST0367,San Francisco,2023-02-22,2023-09-19,Cancelled,5169,Agent,Consultant_1,Netherlands,Mobile,6,4,2
BKG00161,CUST0207,Cape Town,2024-02-12,2024-11-18,Pending,1166,Phone,Consultant_10,Italy,Tablet,5,1,1
BKG00162,CUST0390,Milan,2023-01-22,2024-04-09,Confirmed,783,Agent,Consultant_6,USA,Desktop,3,4,1
BKG00163,CUST0108,Oslo,2023-01-30,2024-02-18,Confirmed,6340,Phone,Consultant_12,France,Desktop,20,2,1
BKG00164,CUST0251,Seoul,2023-09-17,2024-08-12,Cancelled,4403,Website,Consultant_4,France,Tablet,17,2,2
BKG00165,CUST0445,Istanbul,2023-07-24,2023-08-12,Pending,4065,Website,Consultant_13,Spain,Desktop,10,4,2
BKG00166,CUST0404,Dubai,2023-02-28,2025-02-04,Confirmed,2734,Agent,Consultant_17,UK,Tablet,3,4,2
BKG00167,CUST0370,Amsterdam,2024-04-15,2024-11-08,Confirmed,5093,Website,Consultant_8,Germany,Mobile,16,4,0
BKG00168,CUST0334,Helsinki,2024-04-10,2024-07-17,Confirmed,1965,Agent,Consultant_20,Italy,Desktop,6,4,2
BKG00169,CUST0130,Berlin,2023-01-12,2024-07-01,Confirmed,629,Phone,Consultant_3,UK,Desktop,7,4,2
BKG00170,CUST0457,Milan,2024-09-22,2025-01-15,Confirmed,5234,App,Consultant_12,Netherlands,Tablet,15,4,0
BKG00171,CUST0293,Toronto,2023-10-17,2025-02-19,Confirmed,7959,Website,Consultant_7,France,Tablet,17,2,0
BKG00172,CUST0020,Istanbul,2023-12-20,2023-08-03,Confirmed,6757,Phone,Consultant_12,Spain,Tablet,8,4,0
BKG00173,CUST0282,Berlin,2024-09-30,2023-11-18,Confirmed,7866,App,Consultant_2,Spain,Tablet,3,3,0
BKG00174,CUST0285,Copenhagen,2023-03-16,2023-12-31,Cancelled,2560,App,Consultant_14,USA,Desktop,15,2,0
BKG00175,CUST0001,San Francisco,2024-07-14,2025-01-31,Confirmed,7938,App,Consultant_5,Italy,Mobile,8,1,0
BKG00176,CUST0119,Copenhagen,2024-08-13,2023-05-26,Confirmed,4172,Phone,Consultant_9,Germany,Mobile,17,2,1
BKG00177,CUST0035,Paris,2024-03-16,2025-05-04,Confirmed,7882,Phone,Consultant_11,Germany,Mobile,18,1,1
BKG00178,CUST0198,Madrid,2023-08-29,2023-03-20,Confirmed,7087,Agent,Consultant_5,Germany,Mobile,18,1,1
BKG00179,CUST0485,Athens,2023-06-03,2024-12-15,Pending,2994,App,Consultant_3,USA,Tablet,12,3,1
BKG00180,CUST0245,San Francisco,2023-04-06,2023-04-22,Confirmed,5581,App,Consultant_17,UK,Desktop,11,4,2
BKG00181,CUST0059,Sydney,2023-10-21,2025-05-13,Confirmed,1492,App,Consultant_2,Spain,Desktop,11,4,0
BKG00182,CUST0325,Bangkok,2023-07-28,2023-12-29,Cancelled,7358,Agent,Consultant_1,UK,Desktop,19,2,2
BKG00183,CUST0161,Rio,2023-12-09,2024-08-09,Confirmed,2621,App,Consultant_7,France,Tablet,19,4,0
BKG00184,CUST0497,Oslo,2023-03-29,2023-12-31,Pending,3084,Phone,Consultant_14,UK,Desktop,19,3,0
BKG00185,CUST0179,Istanbul,2024-01-25,2024-07-15,Confirmed,4696,App,Consultant_5,Netherlands,Tablet,14,2,2
BKG00186,CUST0206,Paris,2023-11-21,2023-09-08,Confirmed,2723,Website,Consultant_19,USA,Desktop,15,2,1
BKG00187,CUST0012,San Francisco,2023-06-06,2024-10-26,Confirmed,5022,Phone,Consultant_11,USA,Mobile,14,2,2
BKG00188,CUST0490,Amsterdam,2024-10-29,2025-02-14,Confirmed,3688,Agent,Consultant_2,Germany,Tablet,16,4,2
BKG00189,CUST0276,Berlin,2024-10-12,2025-02-01,Cancelled,3737,App,Consultant_8,Italy,Desktop,12,4,0
BKG00190,CUST0181,Athens,2024-09-24,2023-12-19,Cancelled,4636,Website,Consultant_9,Italy,Mobile,4,4,0
BKG00191,CUST0242,Toronto,2024-07-30,2025-05-30,Confirmed,5024,Agent,Consultant_3,Italy,Mobile,6,2,0
BKG00192,CUST0216,Sydney,2024-09-10,2023-02-02,Confirmed,843,Agent,Consultant_2,Netherlands,Mobile,9,2,1
BKG00193,CUST0251,Sydney,2024-10-20,2024-12-24,Cancelled,4961,Phone,Consultant_7,France,Tablet,17,1,2
BKG00194,CUST0299,Amsterdam,2023-05-17,2023-08-24,Pending,7787,Agent,Consultant_5,Spain,Tablet,17,1,2
BKG00195,CUST0126,Sydney,2024-11-04,2025-05-11,Confirmed,5204,Agent,Consultant_5,Germany,Desktop,8,4,1
BKG00196,CUST0482,Cape Town,2024-03-03,2023-03-11,Confirmed,7300,Agent,Consultant_20,UK,Mobile,5,2,2
BKG00197,CUST0217,Bangkok,2024-03-27,2023-03-30,Confirmed,5323,Agent,Consultant_13,Spain,Desktop,8,4,2
BKG00198,CUST0306,Prague,2024-09-03,2024-08-26,Cancelled,2776,App,Consultant_20,Netherlands,Desktop,18,4,0
BKG00199,CUST0285,Tokyo,2023-05-21,2024-11-04,Confirmed,5420,App,Consultant_6,Germany,Mobile,4,1,1
BKG00200,CUST0185,Toronto,2023-03-24,2024-06-20,Confirmed,3701,App,Consultant_20,Germany,Desktop,9,3,0
BKG00201,CUST0039,Lisbon,2023-06-26,2024-08-24,Cancelled,5971,App,Consultant_18,France,Tablet,13,4,1
BKG00202,CUST0223,Rio,2023-07-17,2025-05-22,Confirmed,1388,Website,Consultant_2,Italy,Desktop,9,3,0
BKG00203,CUST0184,Athens,2024-09-15,2023-06-01,Confirmed,2543,App,Consultant_6,Netherlands,Mobile,6,3,2
BKG00204,CUST0495,New York,2024-07-21,2024-05-23,Confirmed,1841,Agent,Consultant_9,France,Tablet,9,2,1
BKG00205,CUST0427,Madrid,2024-11-21,2024-10-10,Confirmed,7627,App,Consultant_3,USA,Tablet,6,2,1
BKG00206,CUST0178,Barcelona,2024-02-25,2023-05-06,Confirmed,4220,App,Consultant_1,France,Desktop,14,4,0
BKG00207,CUST0407,Istanbul,2024-02-05,2025-06-07,Confirmed,3383,Phone,Consultant_1,France,Desktop,7,1,1
BKG00208,CUST0428,Bangkok,2024-11-28,2024-03-19,Confirmed,5892,Agent,Consultant_19,UK,Tablet,7,1,2
BKG00209,CUST0294,San Francisco,2024-04-15,2023-09-22,Confirmed,4712,App,Consultant_5,France,Desktop,5,4,2
BKG00210,CUST0340,Oslo,2023-08-06,2023-04-02,Cancelled,7461,App,Consultant_13,Germany,Mobile,13,4,2
BKG00211,CUST0151,Istanbul,2024-09-23,2023-10-13,Cancelled,2915,App,Consultant_19,Netherlands,Desktop,9,1,0
BKG00212,CUST0384,Amsterdam,2023-06-24,2024-08-13,Confirmed,1617,Website,Consultant_12,Italy,Desktop,19,3,1
BKG00213,CUST0126,San Francisco,2023-01-23,2024-01-13,Confirmed,4763,App,Consultant_16,Germany,Tablet,11,4,0
